                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0493,                 2.5677,                0.70797,                 1.0236,                0.53727,                 0.4492,                0.46523,                0.30112,                0.48472,                0.37818,                0.37406,                0.20684,                 1.1784,                 2.8708,                 0.7993,                 1.0126,               0.009241,               0.009241,               0.009241
                     26,                 1.0441,                  2.544,                0.70274,                 1.0225,                0.47224,                0.44641,                0.44192,                0.28844,                0.46233,                0.36753,                0.35654,                 0.1943,                 1.1613,                 2.8696,                 0.7864,                  1.007,               0.009208,               0.009208,               0.009208
                     27,                 1.0406,                 2.5448,                0.69757,                 1.0185,                0.73886,                0.39297,                0.46696,                0.29916,                0.68784,                0.34417,                0.38159,                0.20283,                 1.1606,                 2.8632,                0.78432,                  1.005,               0.009175,               0.009175,               0.009175
                     28,                 1.0368,                 2.5122,                0.69269,                 1.0191,                0.59176,                 0.4376,                0.47555,                0.30114,                0.50939,                0.38143,                0.37697,                0.20595,                 1.1708,                 2.8919,                0.81524,                 1.0191,               0.009142,               0.009142,               0.009142
                     29,                 1.0365,                 2.5139,                0.68844,                 1.0162,                0.54859,                0.45555,                0.45762,                0.30067,                0.49643,                0.40803,                0.38469,                0.20477,                 1.1679,                 2.8628,                0.78847,                 1.0092,               0.009109,               0.009109,               0.009109
                     30,                 1.0286,                 2.5033,                0.68284,                 1.0163,                0.54819,                0.45944,                0.48146,                0.31199,                0.51753,                0.38278,                0.38843,                0.21127,                  1.168,                  2.878,                0.79281,                 1.0141,               0.009076,               0.009076,               0.009076
                     31,                  1.025,                 2.4985,                 0.6813,                 1.0117,                 0.5309,                0.45188,                0.46015,                0.30472,                0.47702,                0.40294,                0.38501,                0.20839,                 1.1546,                 2.8432,                 0.7814,                0.99784,               0.009043,               0.009043,               0.009043
                     32,                 1.0178,                  2.476,                0.67403,                 1.0104,                0.56929,                0.42827,                0.45424,                0.29103,                0.56088,                0.35294,                0.37203,                0.19593,                 1.1725,                 2.8979,                0.79883,                 1.0139,                0.00901,                0.00901,                0.00901
                     33,                 1.0153,                 2.4706,                0.66991,                 1.0089,                0.52818,                0.46701,                0.46663,                0.30458,                0.45197,                0.39923,                0.37952,                0.20284,                  1.164,                 2.8572,                0.79129,                 1.0102,               0.008977,               0.008977,               0.008977
                     34,                 1.0142,                 2.4534,                 0.6706,                 1.0087,                0.50541,                0.46594,                0.46333,                0.30216,                0.46661,                0.40356,                0.38254,                 0.2024,                 1.1642,                 2.8709,                0.78773,                 1.0082,               0.008944,               0.008944,               0.008944
                     35,                 1.0118,                 2.4643,                 0.6629,                  1.004,                0.58477,                0.45532,                0.47288,                0.30945,                0.51973,                0.38443,                 0.3896,                 0.2028,                 1.1568,                 2.8693,                0.78159,                 1.0065,               0.008911,               0.008911,               0.008911
                     36,                 1.0034,                 2.4337,                0.65826,                 1.0038,                 0.5374,                0.45752,                 0.4807,                0.31266,                0.47528,                0.41054,                0.40621,                0.21967,                 1.1595,                 2.8721,                0.78824,                 1.0084,               0.008878,               0.008878,               0.008878
                     37,                 1.0017,                 2.4264,                0.65802,                 1.0018,                0.51397,                0.43965,                0.45578,                0.29947,                0.52492,                0.34976,                0.37496,                 0.2068,                 1.1553,                 2.8622,                0.77826,                  1.005,               0.008845,               0.008845,               0.008845
                     38,                0.99664,                 2.4178,                 0.6509,                 1.0003,                0.55397,                 0.4591,                 0.4683,                 0.3005,                0.48378,                0.40135,                0.39141,                0.20516,                  1.154,                 2.8428,                0.77655,                 1.0049,               0.008812,               0.008812,               0.008812
                     39,                0.99549,                 2.4063,                0.64992,                0.99862,                0.53763,                0.43362,                0.45331,                0.29943,                0.47149,                0.38656,                0.37999,                0.20474,                 1.1635,                 2.8699,                  0.778,                 1.0174,               0.008779,               0.008779,               0.008779
                     40,                0.99167,                 2.3926,                0.64555,                0.99717,                0.62862,                 0.4572,                0.48406,                0.32208,                0.57728,                 0.3942,                0.40181,                0.21839,                 1.1561,                 2.8694,                0.77086,                 1.0163,               0.008746,               0.008746,               0.008746
                     41,                0.98551,                 2.3796,                0.64036,                0.99469,                0.59365,                0.46187,                0.48529,                0.31444,                0.58513,                 0.3937,                0.40284,                0.21599,                  1.142,                 2.8544,                0.77738,                 1.0017,               0.008713,               0.008713,               0.008713
                     42,                0.98394,                 2.3634,                0.63424,                0.99266,                0.59667,                0.45745,                0.47699,                0.30126,                0.51864,                0.39756,                0.38787,                0.20986,                 1.1581,                 2.9037,                0.77574,                 1.0122,                0.00868,                0.00868,                0.00868
                     43,                0.97805,                 2.3464,                0.63006,                0.98847,                0.52918,                0.46109,                0.45608,                0.29609,                0.48794,                0.39002,                0.37483,                0.20378,                 1.1567,                 2.9007,                0.77016,                 1.0076,               0.008647,               0.008647,               0.008647
                     44,                0.97285,                 2.3278,                0.62577,                0.98452,                0.57433,                0.45196,                0.46183,                 0.3027,                0.53215,                0.38986,                0.38383,                 0.2057,                 1.1503,                  2.864,                0.76109,                 1.0105,               0.008614,               0.008614,               0.008614
                     45,                0.97309,                 2.3304,                0.62656,                0.98779,                0.57602,                0.41189,                0.45761,                 0.2961,                0.52107,                0.36339,                0.37953,                0.19759,                 1.1588,                 2.8691,                0.78308,                 1.0173,               0.008581,               0.008581,               0.008581
                     46,                0.97013,                 2.3163,                0.62006,                0.98622,                0.58782,                0.44137,                0.46829,                0.30406,                0.52697,                0.39362,                0.38812,                0.20989,                 1.1561,                 2.8859,                0.76728,                 1.0185,               0.008548,               0.008548,               0.008548
                     47,                  0.965,                 2.3203,                0.61794,                0.98225,                0.59417,                 0.4295,                0.46732,                 0.3082,                0.52534,                0.38072,                0.38917,                0.21504,                 1.1442,                 2.8605,                0.76133,                  1.005,               0.008515,               0.008515,               0.008515
                     48,                0.96471,                 2.3119,                0.61579,                0.98115,                 0.6162,                0.41886,                0.46818,                0.30762,                0.55538,                0.37397,                0.39729,                0.21218,                  1.157,                 2.9043,                0.77495,                 1.0144,               0.008482,               0.008482,               0.008482
                     49,                0.95988,                 2.2883,                0.60876,                0.98148,                0.54715,                0.44848,                0.46263,                0.30144,                0.47803,                0.39211,                  0.375,                0.20206,                 1.1444,                 2.8911,                0.76153,                 1.0094,               0.008449,               0.008449,               0.008449
                     50,                0.94997,                 2.2808,                0.60135,                0.97771,                0.60294,                0.41937,                0.47303,                0.30926,                 0.5533,                0.36521,                0.38982,                0.20731,                 1.1579,                 2.8916,                0.76815,                 1.0107,               0.008416,               0.008416,               0.008416
                     51,                0.94953,                 2.2769,                0.60264,                0.97688,                0.57596,                0.44494,                0.46627,                0.30267,                0.51367,                0.39043,                0.38374,                0.20822,                 1.1495,                 2.8859,                0.76944,                 1.0133,               0.008383,               0.008383,               0.008383
                     52,                0.94849,                 2.2611,                0.59982,                0.97727,                0.64882,                0.44021,                0.47778,                0.31722,                0.59549,                0.39293,                 0.4062,                0.20721,                 1.1566,                 2.8992,                0.76097,                 1.0142,                0.00835,                0.00835,                0.00835
                     53,                0.94141,                 2.2431,                0.59314,                0.97562,                0.63294,                0.42472,                0.47945,                0.30586,                0.56523,                0.37787,                0.39716,                0.21099,                 1.1461,                 2.8806,                 0.7608,                 1.0119,               0.008317,               0.008317,               0.008317
                     54,                0.93996,                 2.2417,                0.59498,                0.97223,                 0.6695,                0.42539,                0.47689,                0.30941,                0.61874,                0.37821,                0.40062,                0.21472,                 1.1431,                  2.906,                0.75715,                 1.0064,               0.008284,               0.008284,               0.008284
                     55,                0.93756,                 2.2409,                0.59222,                0.96935,                0.74149,                0.42117,                0.48004,                0.31349,                0.69847,                0.36775,                0.40544,                0.21877,                 1.1344,                 2.8918,                0.75459,                 1.0031,               0.008251,               0.008251,               0.008251
                     56,                0.93772,                 2.2263,                0.58812,                 0.9713,                0.61571,                0.45769,                0.47501,                0.30998,                0.53653,                0.39411,                 0.3883,                0.20634,                 1.1673,                 2.9358,                0.77086,                 1.0228,               0.008218,               0.008218,               0.008218
                     57,                0.93292,                 2.2191,                0.58452,                0.96673,                0.65538,                0.42591,                0.47265,                0.30432,                0.61787,                0.36108,                0.38477,                0.20228,                 1.1472,                 2.8979,                0.76663,                 1.0155,               0.008185,               0.008185,               0.008185
                     58,                0.92785,                 2.1992,                0.57864,                0.96366,                0.54533,                0.45709,                0.47928,                0.31048,                0.49796,                0.39646,                 0.3964,                0.20726,                 1.1584,                 2.9361,                0.77669,                 1.0225,               0.008152,               0.008152,               0.008152
                     59,                0.92754,                  2.209,                0.57907,                0.96543,                0.62888,                0.41661,                0.47005,                0.30481,                 0.5286,                0.35937,                0.37909,                0.20127,                 1.1556,                 2.9268,                0.76398,                 1.0215,               0.008119,               0.008119,               0.008119
                     60,                0.92385,                 2.1809,                0.57411,                0.96507,                0.67275,                0.41961,                0.47571,                0.31132,                0.61456,                 0.3767,                0.40342,                0.21663,                 1.1578,                 2.9328,                0.76822,                 1.0247,               0.008086,               0.008086,               0.008086
                     61,                0.92328,                 2.1797,                0.57314,                 0.9641,                0.58915,                0.46119,                0.48799,                0.30952,                0.61062,                 0.3772,                0.40258,                0.21706,                  1.142,                 2.9532,                0.75323,                 1.0135,               0.008053,               0.008053,               0.008053
                     62,                0.91889,                 2.1707,                0.57158,                0.96211,                0.63394,                0.42656,                0.46761,                0.30279,                 0.5768,                0.37848,                0.39076,                0.20232,                 1.1591,                 2.9424,                0.76862,                 1.0203,                0.00802,                0.00802,                0.00802
                     63,                0.91744,                  2.158,                 0.5651,                0.95991,                0.61912,                0.43733,                0.48152,                0.31534,                0.55731,                 0.3896,                0.40607,                0.20557,                 1.1405,                 2.9451,                0.74543,                 1.0112,               0.007987,               0.007987,               0.007987
                     64,                0.91523,                 2.1544,                0.56316,                0.95879,                0.61304,                0.46866,                0.48828,                0.31093,                0.52531,                0.41947,                 0.3999,                0.20339,                 1.1465,                  2.949,                0.74562,                  1.018,               0.007954,               0.007954,               0.007954
                     65,                0.90826,                 2.1435,                0.56256,                0.95624,                0.64056,                0.43327,                0.47134,                0.30949,                 0.5748,                0.38442,                0.39101,                0.20792,                 1.1543,                 2.9397,                0.75942,                 1.0221,               0.007921,               0.007921,               0.007921
                     66,                0.90784,                 2.1388,                0.55907,                0.95625,                0.55101,                 0.4593,                 0.4702,                0.31048,                0.50451,                0.41316,                0.39486,                 0.2055,                 1.1508,                 2.9501,                0.75393,                 1.0265,               0.007888,               0.007888,               0.007888
                     67,                0.90345,                 2.1246,                0.55492,                0.95421,                0.59721,                0.47722,                0.47892,                0.30474,                0.53052,                0.40496,                 0.3919,                 0.2071,                 1.1544,                 2.9854,                0.76206,                 1.0241,               0.007855,               0.007855,               0.007855
                     68,                0.90334,                  2.125,                0.55328,                0.95451,                0.56459,                 0.4641,                 0.4768,                0.30747,                0.49506,                0.39924,                0.38748,                0.20843,                 1.1526,                 2.9835,                0.75068,                 1.0214,               0.007822,               0.007822,               0.007822
                     69,                0.90203,                  2.116,                0.55323,                 0.9526,                0.60818,                0.44282,                0.46917,                0.30287,                0.55488,                0.38284,                0.38442,                0.20554,                 1.1556,                 2.9714,                0.75833,                 1.0204,               0.007789,               0.007789,               0.007789
                     70,                0.89413,                  2.113,                0.54791,                0.94759,                0.65513,                0.41565,                0.47753,                0.30883,                0.60406,                0.37078,                0.39573,                 0.2108,                 1.1418,                 2.9666,                0.74106,                 1.0144,               0.007756,               0.007756,               0.007756
                     71,                0.89457,                 2.1038,                0.54643,                0.95139,                0.64329,                0.43094,                0.47567,                 0.3112,                0.58315,                0.37486,                0.39356,                0.20956,                 1.1378,                 2.9534,                0.74214,                 1.0121,               0.007723,               0.007723,               0.007723
                     72,                0.89342,                 2.0878,                0.54349,                0.95014,                0.54734,                0.44706,                0.46295,                0.30019,                0.48441,                0.39624,                0.38419,                0.20611,                  1.141,                 2.9593,                0.75544,                 1.0171,                0.00769,                0.00769,                0.00769
                     73,                0.89082,                 2.0933,                0.54261,                 0.9502,                0.56546,                 0.4354,                 0.4637,                0.29499,                0.50551,                 0.3876,                0.38432,                0.20199,                   1.15,                 2.9998,                0.75209,                 1.0217,               0.007657,               0.007657,               0.007657
                     74,                0.89033,                 2.0831,                0.54009,                0.94748,                0.55701,                0.44154,                0.46993,                0.30034,                0.48804,                0.38441,                0.38448,                0.20196,                 1.1502,                 2.9821,                0.74856,                 1.0223,               0.007624,               0.007624,               0.007624
                     75,                 0.8842,                 2.0699,                0.53659,                0.94568,                 0.5834,                0.42155,                0.47356,                0.30179,                0.52879,                 0.3776,                0.39776,                0.20366,                 1.1693,                 2.9806,                0.75532,                 1.0341,               0.007591,               0.007591,               0.007591
                     76,                0.88391,                 2.0638,                0.53794,                0.94686,                0.56693,                 0.4608,                0.47423,                0.30912,                0.49796,                0.40239,                0.39498,                0.20595,                 1.1609,                 2.9951,                0.74664,                 1.0326,               0.007558,               0.007558,               0.007558
                     77,                0.87876,                 2.0554,                0.53059,                0.94244,                0.59196,                0.41846,                0.46034,                0.29886,                0.53021,                0.36445,                0.37514,                0.19989,                 1.1584,                 3.0194,                0.75797,                 1.0304,               0.007525,               0.007525,               0.007525
                     78,                0.87447,                 2.0523,                 0.5313,                 0.9407,                0.59127,                0.43144,                0.46888,                 0.3022,                0.55317,                0.36936,                0.38434,                0.20959,                 1.1556,                 2.9809,                0.75161,                 1.0258,               0.007492,               0.007492,               0.007492
                     79,                0.87562,                 2.0422,                0.52854,                0.93948,                0.62278,                0.44259,                0.48407,                0.31421,                0.56548,                0.38076,                0.40272,                0.21383,                  1.145,                 3.0118,                0.74417,                 1.0225,               0.007459,               0.007459,               0.007459
                     80,                0.86941,                 2.0276,                0.52205,                0.93771,                0.60276,                0.43199,                0.47165,                0.30722,                0.53536,                 0.3859,                0.39405,                0.20949,                 1.1559,                 3.0242,                0.75592,                 1.0313,               0.007426,               0.007426,               0.007426
                     81,                0.86734,                 2.0216,                0.52162,                0.93791,                0.62289,                0.44755,                 0.4891,                0.31362,                0.52901,                0.38872,                0.39437,                0.20704,                 1.1578,                  3.025,                0.74136,                 1.0318,               0.007393,               0.007393,               0.007393
                     82,                0.86419,                  2.024,                0.52033,                0.93516,                0.59561,                 0.4436,                0.46908,                0.30394,                0.54777,                0.37895,                0.38911,                 0.2057,                 1.1709,                 3.0198,                0.75039,                 1.0363,                0.00736,                0.00736,                0.00736
                     83,                0.86801,                  2.013,                0.52011,                0.93651,                0.56033,                0.47364,                0.47308,                0.30582,                0.47076,                0.41281,                0.38408,                0.20248,                 1.1575,                 3.0574,                0.74894,                 1.0281,               0.007327,               0.007327,               0.007327
                     84,                0.86526,                 2.0068,                0.52004,                0.93664,                0.64699,                0.43864,                0.48154,                0.31094,                0.60136,                0.37788,                0.39966,                0.21081,                 1.1474,                 3.0198,                0.74204,                 1.0269,               0.007294,               0.007294,               0.007294
                     85,                0.85906,                 2.0014,                0.51544,                0.93367,                0.58001,                0.45753,                0.48112,                0.31184,                0.51939,                0.40806,                0.40316,                0.21577,                 1.1459,                  3.034,                0.73801,                 1.0225,               0.007261,               0.007261,               0.007261
                     86,                0.85978,                 1.9942,                0.51372,                0.93441,                0.62478,                0.42663,                0.47152,                0.30733,                0.58036,                0.38184,                0.39227,                0.20674,                 1.1502,                 3.0143,                 0.7453,                 1.0252,               0.007228,               0.007228,               0.007228
                     87,                0.85697,                 1.9834,                0.51286,                0.93163,                0.63092,                0.44878,                0.48869,                0.32118,                0.56755,                0.37144,                0.39297,                 0.2074,                 1.1471,                 3.0341,                0.74273,                 1.0266,               0.007195,               0.007195,               0.007195
                     88,                0.85515,                 1.9921,                 0.5121,                0.93005,                0.66332,                0.44817,                0.49087,                 0.3139,                0.63952,                0.37524,                0.40114,                0.20709,                 1.1886,                 3.0456,                0.77831,                 1.0485,               0.007162,               0.007162,               0.007162
                     89,                0.84976,                 1.9745,                0.50711,                0.92935,                0.64356,                0.44657,                0.48483,                0.31781,                 0.5812,                0.37617,                0.39791,                0.20849,                 1.1553,                 3.0464,                 0.7632,                 1.0364,               0.007129,               0.007129,               0.007129
                     90,                0.84604,                  1.958,                0.50505,                0.92919,                0.60467,                0.45791,                0.48151,                0.31668,                0.53749,                0.39089,                0.39414,                0.20759,                 1.1614,                 3.0396,                 0.7634,                 1.0395,               0.007096,               0.007096,               0.007096
